timestamp,event_type,duty_cycle_pct,tx_count,violations,memory_free_kb,memory_total_kb,memory_min_kb,memory_peak_kb,queue_enqueued,queue_dropped,queue_drop_rate_pct,queue_max_depth,packet_seq,packet_source,packet_hops,routing_table_entries,trickle_tx_count,trickle_suppressed,trickle_efficiency_pct,trickle_interval_s,raw_line
2025-10-27T14:49:03.046441,packet,,,,,,,,,,,,26,BB94,1,,,,,,"GATEWAY: Packet 26 from BB94 received (hops=1, value=34.25)"
2025-10-27T14:49:10.051373,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:49:40.073482,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:50:03.037599,packet,,,,,,,,,,,,27,BB94,1,,,,,,RX: Seq=27 From=BB94 Hops=1 Value=29.30
2025-10-27T14:50:03.042479,packet,,,,,,,,,,,,27,BB94,1,,,,,,"GATEWAY: Packet 27 from BB94 received (hops=1, value=29.30)"
2025-10-27T14:50:10.107494,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:50:40.123568,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:51:03.334634,packet,,,,,,,,,,,,28,BB94,1,,,,,,RX: Seq=28 From=BB94 Hops=1 Value=27.26
2025-10-27T14:51:03.340575,packet,,,,,,,,,,,,28,BB94,1,,,,,,"GATEWAY: Packet 28 from BB94 received (hops=1, value=27.26)"
2025-10-27T14:51:10.154626,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:51:40.174630,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:52:03.196672,packet,,,,,,,,,,,,29,BB94,1,,,,,,RX: Seq=29 From=BB94 Hops=1 Value=43.34
2025-10-27T14:52:03.201693,packet,,,,,,,,,,,,29,BB94,1,,,,,,"GATEWAY: Packet 29 from BB94 received (hops=1, value=43.34)"
2025-10-27T14:52:10.176710,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:52:40.193765,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:53:02.908689,packet,,,,,,,,,,,,30,BB94,1,,,,,,RX: Seq=30 From=BB94 Hops=1 Value=4.60
2025-10-27T14:53:02.913688,packet,,,,,,,,,,,,30,BB94,1,,,,,,"GATEWAY: Packet 30 from BB94 received (hops=1, value=4.60)"
2025-10-27T14:53:10.193781,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:53:40.214763,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:54:03.122889,packet,,,,,,,,,,,,31,BB94,1,,,,,,RX: Seq=31 From=BB94 Hops=1 Value=49.20
2025-10-27T14:54:03.127838,packet,,,,,,,,,,,,31,BB94,1,,,,,,"GATEWAY: Packet 31 from BB94 received (hops=1, value=49.20)"
2025-10-27T14:54:10.221773,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:54:40.237867,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:55:03.290920,packet,,,,,,,,,,,,32,BB94,1,,,,,,RX: Seq=32 From=BB94 Hops=1 Value=56.32
2025-10-27T14:55:03.295943,packet,,,,,,,,,,,,32,BB94,1,,,,,,"GATEWAY: Packet 32 from BB94 received (hops=1, value=56.32)"
2025-10-27T14:55:10.267942,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:55:40.283941,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:56:03.225921,packet,,,,,,,,,,,,33,BB94,1,,,,,,RX: Seq=33 From=BB94 Hops=1 Value=72.13
2025-10-27T14:56:03.232001,packet,,,,,,,,,,,,33,BB94,1,,,,,,"GATEWAY: Packet 33 from BB94 received (hops=1, value=72.13)"
2025-10-27T14:56:10.285980,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:56:40.301987,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:57:03.375085,packet,,,,,,,,,,,,34,BB94,1,,,,,,RX: Seq=34 From=BB94 Hops=1 Value=90.09
2025-10-27T14:57:03.380127,packet,,,,,,,,,,,,34,BB94,1,,,,,,"GATEWAY: Packet 34 from BB94 received (hops=1, value=90.09)"
2025-10-27T14:57:10.336210,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:57:40.359132,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:58:03.169158,packet,,,,,,,,,,,,35,BB94,1,,,,,,RX: Seq=35 From=BB94 Hops=1 Value=19.05
2025-10-27T14:58:03.174207,packet,,,,,,,,,,,,35,BB94,1,,,,,,"GATEWAY: Packet 35 from BB94 received (hops=1, value=19.05)"
2025-10-27T14:58:10.359171,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:58:40.375230,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:59:03.380263,packet,,,,,,,,,,,,36,BB94,1,,,,,,RX: Seq=36 From=BB94 Hops=1 Value=95.49
2025-10-27T14:59:03.385292,packet,,,,,,,,,,,,36,BB94,1,,,,,,"GATEWAY: Packet 36 from BB94 received (hops=1, value=95.49)"
2025-10-27T14:59:10.403192,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T14:59:40.424297,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:00:02.873283,packet,,,,,,,,,,,,37,BB94,1,,,,,,RX: Seq=37 From=BB94 Hops=1 Value=27.19
2025-10-27T15:00:02.878250,packet,,,,,,,,,,,,37,BB94,1,,,,,,"GATEWAY: Packet 37 from BB94 received (hops=1, value=27.19)"
2025-10-27T15:00:10.424330,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:00:40.440359,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:01:02.789432,packet,,,,,,,,,,,,38,BB94,1,,,,,,RX: Seq=38 From=BB94 Hops=1 Value=97.24
2025-10-27T15:01:02.795351,packet,,,,,,,,,,,,38,BB94,1,,,,,,"GATEWAY: Packet 38 from BB94 received (hops=1, value=97.24)"
2025-10-27T15:01:10.468423,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:01:40.491447,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:02:03.526473,packet,,,,,,,,,,,,39,BB94,1,,,,,,RX: Seq=39 From=BB94 Hops=1 Value=96.49
2025-10-27T15:02:03.531462,packet,,,,,,,,,,,,39,BB94,1,,,,,,"GATEWAY: Packet 39 from BB94 received (hops=1, value=96.49)"
2025-10-27T15:02:10.496490,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:02:40.512523,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:03:03.209544,packet,,,,,,,,,,,,40,BB94,1,,,,,,RX: Seq=40 From=BB94 Hops=1 Value=56.84
2025-10-27T15:03:03.214525,packet,,,,,,,,,,,,40,BB94,1,,,,,,"GATEWAY: Packet 40 from BB94 received (hops=1, value=56.84)"
2025-10-27T15:03:10.513564,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:03:40.535571,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:04:03.263601,packet,,,,,,,,,,,,41,BB94,1,,,,,,RX: Seq=41 From=BB94 Hops=1 Value=93.45
2025-10-27T15:04:03.268626,packet,,,,,,,,,,,,41,BB94,1,,,,,,"GATEWAY: Packet 41 from BB94 received (hops=1, value=93.45)"
2025-10-27T15:04:10.538629,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:04:40.554655,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:05:03.511700,packet,,,,,,,,,,,,42,BB94,1,,,,,,RX: Seq=42 From=BB94 Hops=1 Value=7.06
2025-10-27T15:05:03.516667,packet,,,,,,,,,,,,42,BB94,1,,,,,,"GATEWAY: Packet 42 from BB94 received (hops=1, value=7.06)"
2025-10-27T15:05:10.588683,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:05:40.609679,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:06:02.895795,packet,,,,,,,,,,,,43,BB94,1,,,,,,RX: Seq=43 From=BB94 Hops=1 Value=9.54
2025-10-27T15:06:02.900797,packet,,,,,,,,,,,,43,BB94,1,,,,,,"GATEWAY: Packet 43 from BB94 received (hops=1, value=9.54)"
2025-10-27T15:06:10.641794,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:06:40.657797,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:07:03.125834,packet,,,,,,,,,,,,44,BB94,1,,,,,,RX: Seq=44 From=BB94 Hops=1 Value=52.65
2025-10-27T15:07:03.131799,packet,,,,,,,,,,,,44,BB94,1,,,,,,"GATEWAY: Packet 44 from BB94 received (hops=1, value=52.65)"
2025-10-27T15:07:10.691913,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:07:40.707797,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
2025-10-27T15:08:03.472909,packet,,,,,,,,,,,,45,BB94,1,,,,,,RX: Seq=45 From=BB94 Hops=1 Value=83.38
2025-10-27T15:08:03.477937,packet,,,,,,,,,,,,45,BB94,1,,,,,,"GATEWAY: Packet 45 from BB94 received (hops=1, value=83.38)"
2025-10-27T15:08:10.713979,monitoring,0.0,0,0,324,383,324,59,,,,,,,,,,,,,"Memory: 324/383 KB free, Min: 324 KB, Peak: 59 KB"
